time,measurement_type,pos_x,pos_y,theta
3.36,model,-2.4015474288875473e-09,-0.00827518137966599,1.7114192045886497e-07
3.37,model,-2.350288011964056e-09,-0.008397537815993963,1.7232197568324196e-07
3.38,model,-2.2990285922852082e-09,-0.008520780918431508,1.7350203096841506e-07
3.39,model,-2.2477691695764e-09,-0.008644910686978624,1.7468208632070605e-07
3.4,model,-2.196509744166745e-09,-0.008769927121635289,1.7586214173253823e-07
3.41,model,-2.14525031584031e-09,-0.008895830222401533,1.7704219720888275e-07
3.42,model,-2.0939908846907224e-09,-0.009022619989277336,1.7822225274758403e-07
3.43,model,-2.0427314507064094e-09,-0.009150296422262713,1.7940230834890869e-07
3.44,model,-1.9914720139665254e-09,-0.009278859521357645,1.805823640110344e-07
3.45,model,-1.9402125742304646e-09,-0.009408309286562147,1.817624197395002e-07
3.46,model,-1.8889531317264002e-09,-0.009538645717876201,1.8294247552905323e-07
3.4699999999999998,model,-1.837693686398734e-09,-0.009669868815299836,1.8412253138097354e-07
3.48,model,-1.786434238217187e-09,-0.009801978578833019,1.8530258729595806e-07
3.49,model,-1.7351747871538483e-09,-0.009934975008475776,1.8648264327464945e-07
3.5,model,-1.6839153333716483e-09,-0.010068858104228095,1.876626993132966e-07
3.51,model,-1.6326558766257517e-09,-0.010203627866089979,1.888427554175363e-07
3.52,model,-1.58139641700292e-09,-0.010339284294061427,1.9002281158537103e-07
3.5300000000000002,model,-1.530136954674235e-09,-0.010475827388142454,1.9120286781286217e-07
3.54,model,-1.4788774893896213e-09,-0.010613257148333017,1.923829241057668e-07
3.55,model,-1.4276180212594145e-09,-0.010751573574633166,1.9356298046154498e-07
3.56,model,-1.3763585504193762e-09,-0.010890776667042874,1.9474303687707123e-07
3.57,model,-1.325099076598142e-09,-0.011030866425562145,1.9592309335859264e-07
3.58,model,-1.2738396000370785e-09,-0.01117184285019099,1.9710314990055267e-07
3.59,model,-1.2225801206151912e-09,-0.011313705940929375,1.982832065057368e-07
3.6,model,-1.1713206382519e-09,-0.011456455697777342,1.9946326317600018e-07
3.61,model,-1.1200611530810376e-09,-0.011600092120734871,2.0064331990826167e-07
3.62,model,-1.06880166509763e-09,-0.011744615209801981,2.0182337670263575e-07
3.63,model,-1.0175421743127863e-09,-0.01189002496497862,2.0300343355886685e-07
3.64,model,-9.662826806166921e-10,-0.012036321386264853,2.041834904794829e-07
3.65,model,-9.150231841525074e-10,-0.012183504473660648,2.0536354746118827e-07
3.66,model,-8.637636848660255e-10,-0.012331574227165987,2.0654360450523066e-07
3.67,model,-8.12504182552709e-10,-0.01248053064678092,2.0772366161631904e-07
3.68,model,-7.61244677638984e-10,-0.012630373732505397,2.0890371878463646e-07
3.69,model,-7.099851697652344e-10,-0.012781103484339446,2.1008377601846153e-07
3.74,model,-4.536875876519579e-10,-0.013548052235153147,2.1598406313208523e-07
3.75,model,-4.024280628605424e-10,-0.013704101983644575,2.1716412073956237e-07
3.84,model,5.890778943491033e-11,-0.015148449694997887,2.2778464206196938e-07
3.85,model,1.1016734274899815e-10,-0.015313366104584962,2.289647002997175e-07
3.86,model,1.6142689896922325e-10,-0.015479169180281596,2.3014475860173294e-07
3.87,model,2.1268645806452035e-10,-0.01564585892208782,2.3132481696730044e-07
3.88,model,2.6394601981340254e-10,-0.015813435330003584,2.3250487539132117e-07
3.89,model,3.152055845865192e-10,-0.01598189840402891,2.3368493388232792e-07
3.9,model,3.6646515208396976e-10,-0.016151248144163827,2.348649924334165e-07
3.91,model,4.177247224712164e-10,-0.016321484550408296,2.3604505104839623e-07
3.92,model,4.689842957899104e-10,-0.01649260762276232,2.372251097282259e-07
3.93,model,5.202438718351936e-10,-0.01666461736122592,2.3840516846818928e-07
3.99,model,8.278013879189412e-10,-0.017715295780308348,2.454855222295695e-07
4.0,model,8.790609838879416e-10,-0.017893512181538913,2.466655814097523e-07
4.01,model,9.303215905214719e-10,-0.01807260900764969,2.478456638540312e-07
4.02,model,9.815851200285732e-10,-0.018252510323594782,2.4902581358379147e-07
4.03,model,1.0328486588937804e-09,-0.018433194285055785,2.5020596352635097e-07
4.04,model,1.084112200217239e-09,-0.018614660892032748,2.5138611352286646e-07
4.05,model,1.1353757443842782e-09,-0.01879691014452564,2.525662635822085e-07
4.06,model,1.1866392910390227e-09,-0.018979942042534472,2.537464136961847e-07
4.07,model,1.2379028401657501e-09,-0.01916375658605923,2.549265638644329e-07
4.13,model,1.5454841889587196e-09,-0.020283079403042293,2.6200746606246314e-07
4.14,model,1.59674775608538e-09,-0.020472372465178575,2.631876166266397e-07
4.15,model,1.6480113257218247e-09,-0.02066244817283079,2.643677672459587e-07
4.16,model,1.6992748981141572e-09,-0.020853306525998944,2.655479179260856e-07
4.17,model,1.7505384728073716e-09,-0.02104494752468301,2.667280686565456e-07
4.18,model,1.8018020502147172e-09,-0.02123737116888301,2.6790821944685225e-07
4.19,model,1.8530656302365307e-09,-0.021430577458598943,2.6908837029471114e-07
4.2,model,1.904329212649947e-09,-0.021624566393830803,2.702685211949917e-07
4.21,model,1.9555927979056613e-09,-0.021819337974578617,2.714486721580696e-07
4.22,model,2.0068563855638e-09,-0.02201489220084236,2.7262882317381814e-07
4.23,model,2.0581199758328322e-09,-0.02221122907262203,2.738089742470367e-07
4.24,model,2.1093835686260373e-09,-0.022408348589917623,2.749891253757289e-07
4.25,model,2.1606471639511206e-09,-0.022606250752729158,2.7616927656007183e-07
4.26,model,2.211910761756119e-09,-0.02280493556105661,2.773494277988696e-07
4.27,model,2.2631743621854903e-09,-0.023004403014900004,2.7852957909544764e-07
4.28,model,2.3144379654538186e-09,-0.02320465311425933,2.7970973045474577e-07
4.29,model,2.3657015709277455e-09,-0.02340568585913458,2.808898818621837e-07
4.3,model,2.4169651791186174e-09,-0.023607501249525768,2.8207003332953287e-07
4.31,model,2.4682287898912866e-09,-0.023810099285432915,2.832501848536822e-07
